Year,Brazil,Finland,France,Hungary,Israel,Italy,Japan,Russia,Sweden,Switzerland,Ukraine,United Kingdom,United States
2010,0.0,18.63585538576221,28.62595419847328,0.0,13.612850530901172,1.685630004214075,1.555911686452677,1.3939322130764782,21.299254526091588,12.805736970162632,2.183787561146052,14.182161991805863,10.03200533314348
2011,0.0,18.55287569573284,28.471101831640883,0.0,13.356484573260317,1.6781620768933865,1.55643234577701,1.391759392636201,21.126016689553186,12.64702162640698,2.1920210434020166,14.057667676736123,10.270103728047653
2012,0.0,18.467220683287167,28.317915801397014,10.13787510137875,13.131976362442547,1.6700345697155932,1.5573413069208248,1.3889467616706253,20.957770093262077,12.487512487512488,2.200026400316804,13.94808213870593,10.508081670084447
2013,0.0,18.385732671446956,28.171659310733403,10.16880211511084,12.928248222365868,1.6620406535143848,1.5586763720248764,1.3857613026156246,20.79434393844874,12.331976815883586,2.208139201095237,13.849562969346302,10.745857313978147
2014,0.4931841944329368,18.311664530305805,31.155559709630186,10.198878123406425,12.732365673542143,1.655355073663301,1.5604397319164542,2.0737566100991947,20.635575732562938,12.186205215695832,2.2167050895548854,15.285144368188558,11.61064790553326
2015,0.4890645173911342,18.24484583105273,31.030363210401376,10.22704029453876,12.5344697919278,1.6507643038726931,1.562683126928937,2.069179570300376,20.48131080389145,12.05254911413764,2.226080762210053,15.183723048891588,12.154152045325638
2016,0.4850530890605977,18.188432157148053,30.927197377373663,10.253255408592228,12.331976815883586,1.6484512800224191,1.5653984330361688,2.065049044914817,20.3334688897926,11.933174224343675,2.2364360155655945,16.591752390720686,12.073705327290288
2017,0.481153228057007,18.145527127563057,32.385916752772076,10.277492291880781,12.130033964095098,1.6481524211359069,1.5685905429676166,2.0614306328592042,20.191822311963655,11.825922421948913,2.2477971587843912,16.485081001693466,11.996862359075319
2018,0.47739761014756354,18.10610175629187,32.312166299949226,10.300782859497321,11.930326890956813,1.649430121892886,1.5723023222905301,2.058545020379596,20.056157240272764,11.72882946281961,2.260091307688831,16.383187870483454,12.228825788147823
2019,0.47382136934375735,18.076644974692698,32.2432058959005,10.325245224574083,11.738466956215518,1.6515276630883566,1.5765410688948447,2.056597564988483,19.928258270227182,11.640088464672331,2.273037232349866,16.289056715533835,12.459544466898636
2020,0.4704576141212557,18.047283883775492,32.172074639213164,10.351966873706004,23.10536044362292,1.6539313949257384,1.5813276827224139,2.055723820357148,19.803940984255867,11.554015020219527,2.286550509900764,16.20363550658457,12.68870674888143
2021,0.46556913817046586,17.85975644114349,31.837777970522676,20.48880133341119,22.865275055539758,1.6367455664777224,1.564896271867802,2.034363008765114,19.59816030109438,11.433958456427042,2.262791202276857,16.03526522175613,12.85583257232161
