"Year","ICMLocation","MedalistEntity","Medalist","AffiliationWhenAwarded","AffiliationWhenAwardedCountry","AffiliationCurrent","AffiliationCurrentCountry","Citation"
"DateObject[{1982}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Warsaw"", ""Mazowieckie"", ""Poland""}]","Entity[""Person"", ""Shing-TungYau::6y3d9""]","Shing-Tung Yau","Institute for Advanced Study, US","Entity[""Country"", ""UnitedStates""]","Harvard University, US","Entity[""Country"", ""UnitedStates""]","Made contributions in differential equations, also to the Calabi conjecture in algebraic geometry, to the positive mass conjecture of general relativity theory, and to real and complex Monge-Ampère equations."
"DateObject[{1986}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Berkeley"", ""California"", ""UnitedStates""}]","Missing[""NotAvailable""]","Simon Donaldson","University of Oxford, UK","Entity[""Country"", ""UnitedKingdom""]","Imperial College London, UK  Stony Brook University, US","Entity[""Country"", ""UnitedStates""]","Received medal primarily for his work on topology of four-manifolds, especially for showing that there is a differential structure on euclidian four-space which is different from the usual structure."
"DateObject[{1986}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Berkeley"", ""California"", ""UnitedStates""}]","Entity[""Person"", ""GerdFaltings::3278m""]","Gerd Faltings","Princeton University, US","Entity[""Country"", ""UnitedStates""]","Max Planck Institute for Mathematics, Germany","Entity[""Country"", ""Germany""]","Using methods of arithmetic algebraic geometry, he received medal primarily for his proof of the Mordell Conjecture."
"DateObject[{1986}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Berkeley"", ""California"", ""UnitedStates""}]","Missing[""NotAvailable""]","Michael Freedman","University of California, San Diego, US","Entity[""Country"", ""UnitedStates""]","Microsoft Station Q, US","Entity[""Country"", ""UnitedStates""]","Developed new methods for topological analysis of four-manifolds. One of his results is a proof of the four-dimensional Poincaré Conjecture."
"DateObject[{1990}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Kyoto"", ""Kyoto"", ""Japan""}]","Entity[""Person"", ""VladimirGershonovichDrinfeld::77fkf""]","Vladimir Drinfeld","B Verkin Institute for Low Temperature Physics and Engineering, USSR","Missing[""NotAvailable""]","University of Chicago, US","Entity[""Country"", ""UnitedStates""]","For his work on quantum groups and for his work in number theory."
"DateObject[{1990}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Kyoto"", ""Kyoto"", ""Japan""}]","Entity[""Person"", ""VaughanFRJones::24k8z""]","Vaughan F. R. Jones","University of California, Berkeley, US","Entity[""Country"", ""UnitedStates""]","University of California, Berkeley, US,  Vanderbilt University, US","Entity[""Country"", ""UnitedStates""]","For his discovery of an unexpected link between the mathematical study of knots – a field that dates back to the 19th century – and statistical mechanics, a form of mathematics used to study complex systems with large numbers of components."
"DateObject[{1990}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Kyoto"", ""Kyoto"", ""Japan""}]","Entity[""Person"", ""ShigefumiMori::5825g""]","Shigefumi Mori","Kyoto University, Japan","Entity[""Country"", ""Japan""]","Kyoto University, Japan","Entity[""Country"", ""Japan""]","For the proof of Hartshorne’s conjecture and his work on the classification of three-dimensional algebraic varieties."
"DateObject[{1990}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Kyoto"", ""Kyoto"", ""Japan""}]","Entity[""Person"", ""EdwardWitten::26k3t""]","Edward Witten","Institute for Advanced Study, US","Entity[""Country"", ""UnitedStates""]","Institute for Advanced Study, US","Entity[""Country"", ""UnitedStates""]","Proof in 1981 of the positive energy theorem in general relativity"
"DateObject[{1994}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Zurich"", ""Zurich"", ""Switzerland""}]","Entity[""Person"", ""JeanBourgain::b72rs""]","Jean Bourgain","Institut des Hautes Études Scientifiques, France","Entity[""Country"", ""France""]","Institute for Advanced Study, US","Entity[""Country"", ""UnitedStates""]","Bourgain's work touches on several central topics of mathematical analysis: the geometry of Banach spaces, convexity in high dimensions, harmonic analysis, ergodic theory, and finally, nonlinear partial differential equations from mathematical physics."
"DateObject[{1994}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Zurich"", ""Zurich"", ""Switzerland""}]","Entity[""Person"", ""Pierre-LouisLions::887s8""]","Pierre-Louis Lions","University of Paris 9, France","Entity[""Country"", ""France""]","Collège de France, France École polytechnique, France","Entity[""Country"", ""France""]","... such nonlinear partial differential equation simply do not have smooth or even C1 solutions existing after short times. ... The only option is therefore to search for some kind of weak solution. This undertaking is in effect to figure out how to allow for certain kinds of physically correct singularities and how to forbid others. ... Lions and Crandall at last broke open the problem by focusing attention on viscosity solutions, which are defined in terms of certain inequalities holding wherever the graph of the solution is touched on one side or the other by a smooth test function."
"DateObject[{1994}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Zurich"", ""Zurich"", ""Switzerland""}]","Entity[""Person"", ""Jean-ChristopheYoccoz::pkf29""]","Jean-Christophe Yoccoz","Paris-Sud 11 University, France","Entity[""Country"", ""France""]","Collège de France, France","Entity[""Country"", ""France""]","Proving stability properties - dynamic stability, such as that sought for the solar system, or structural stability, meaning persistence under parameter changes of the global properties of the system."
"DateObject[{1994}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Zurich"", ""Zurich"", ""Switzerland""}]","Missing[""NotAvailable""]","Efim Zelmanov","University of California, San Diego, US","Entity[""Country"", ""UnitedStates""]","Steklov Mathematical Institute, Russia, University of California, San Diego, US","Entity[""Country"", ""UnitedStates""]","For his solution to the restricted Burnside problem."
"DateObject[{1998}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Berlin"", ""Berlin"", ""Germany""}]","Entity[""Person"", ""RichardEwenBorcherds::sz269""]","Richard Borcherds","University of California, Berkeley, US University of Cambridge, UK","Entity[""Country"", ""UnitedKingdom""]","University of California, Berkeley, US","Entity[""Country"", ""UnitedStates""]","For his work on the introduction of vertex algebras, the proof of the Moonshine conjecture and for his discovery of a new class of automorphic infinite products"
"DateObject[{1998}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Berlin"", ""Berlin"", ""Germany""}]","Entity[""Person"", ""TimothyGowers::w7p69""]","Timothy Gowers","University of Cambridge, UK","Entity[""Country"", ""UnitedKingdom""]","University of Cambridge, UK","Entity[""Country"", ""UnitedKingdom""]","William Timothy Gowers has provided important contributions to functional analysis, making extensive use of methods from combination theory. These two fields apparently have little to do with each other, and a significant achievement of Gowers has been to combine these fruitfully."
"DateObject[{1998}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Berlin"", ""Berlin"", ""Germany""}]","Entity[""Person"", ""MaximKontsevich::v7j74""]","Maxim Kontsevich","Institut des Hautes Études Scientifiques, France Rutgers University, US","Entity[""Country"", ""UnitedStates""]","Institut des Hautes Études Scientifiques, France Rutgers University, US","Entity[""Country"", ""UnitedStates""]","Contributions to four problems of geometry"
"DateObject[{1998}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Berlin"", ""Berlin"", ""Germany""}]","Missing[""NotAvailable""]","Curtis T. McMullen","Harvard University, US","Entity[""Country"", ""UnitedStates""]","Harvard University, US","Entity[""Country"", ""UnitedStates""]","He has made important contributions to various branches of the theory of dynamical systems, such as the algorithmic study of polynomial equations, the study of the distribution of the points of a lattice of a Lie group, hyperbolic geometry, holomorphic dynamics and the renormalization of maps of the interval."
"DateObject[{2002}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Beijing"", ""Beijing"", ""China""}]","Entity[""Person"", ""LaurentLafforgue::qsc7g""]","Laurent Lafforgue","Institut des Hautes Études Scientifiques, France","Entity[""Country"", ""France""]","Institut des Hautes Études Scientifiques, France","Entity[""Country"", ""France""]","Laurent Lafforgue has been awarded the Fields Medal for his proof of the Langlands correspondence for the full linear groups GLr (r≥1) over function fields."
"DateObject[{2002}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Beijing"", ""Beijing"", ""China""}]","Missing[""NotAvailable""]","Vladimir Voevodsky","Institute for Advanced Study, US","Entity[""Country"", ""UnitedStates""]","Institute for Advanced Study, US","Entity[""Country"", ""UnitedStates""]","he defined and developed motivic cohomology and the A1-homotopy theory of algebraic varieties; he proved the Milnor conjectures on the K-theory of fields"
"DateObject[{2006}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Madrid"", ""Madrid"", ""Spain""}]","Missing[""NotAvailable""]","Andrei Okounkov","Princeton University, US","Entity[""Country"", ""UnitedStates""]","Columbia University, US","Entity[""Country"", ""UnitedStates""]","For his contributions bridging probability, representation theory and algebraic geometry"
"DateObject[{2006}, ""Year"", ""Gregorian"", -4.]","Entity[""City"", {""Madrid"", ""Madrid"", ""Spain""}]","Entity[""Person"", ""GrigoriPerelman::9328x""]","Grigori Perelman (declined)","None","Missing[""NotAvailable""]","Steklov Mathematical Institute, Russia","Entity[""Country"", ""Russia""]","For his contributions to geometry and his revolutionary insights into the analytical and geometric structure of the Ricci flow"
